i	north	east	parent	distance	visited
601	34.6	43.6833	0	70.5506	1
602	37.3447	126.968	0	137.454	1
603	45.4339	4.38972	0	44.7818	1
604	23.1288	113.259	0	131.527	1
605	36.7614	38.9694	0	65.977	1
606	26.8167	87.2667	0	107.739	1
607	-10.8853	-61.9517	0	118.389	1
608	35.8327	50.9915	0	74.3925	1
609	37.2792	127.442	0	137.917	1
610	48.1	20.7833	0	46.7713	1
611	34.6833	135.783	0	146.619	1
612	49.4783	10.9903	0	41.9856	1
613	22.535	114.054	0	132.514	1
614	30.2833	57.0667	0	82.5995	1
615	-23.2108	-46.8278	0	122.513	1
616	31.2886	34.2519	0	67.9722	1
617	-29.31	27.48	0	122.434	1
618	32.6342	51.3667	0	77.0024	1
619	42.4647	59.6022	0	76.2367	1
620	31.535	35.0986	0	68.1914	1
621	1.4	172.967	0	194.338	1
622	43.9	125.2	0	133.418	1
623	39.8028	-105.087	0	116.461	1
624	31.1375	97.1777	0	113.615	1
625	33.6292	-112.368	0	125.715	1
626	-7.24583	112.738	0	148.884	1
627	29.1083	58.3583	0	84.3415	1
628	46.9275	26.3708	0	50.5041	1
629	21.9831	96.0844	0	117.722	1
630	37.6889	-97.3361	0	110.502	1
631	33.2117	-117.326	0	130.347	1
632	50.8775	4.70444	0	39.4043	1
633	51.5426	7.21897	0	39.1291	1
634	36.7511	5.06417	0	53.4892	1
635	32.2109	119.455	0	132.699	1
636	33.5328	130.47	0	142.166	1
637	-3.79556	102.259	0	138.761	1
638	-5.63845	132.745	0	163.609	1
639	0.783333	127.367	0	155.505	1
640	-19.77	-43.8508	0	118.205	1
641	-25.6667	28.3333	0	119.086	1
642	30.652	113.827	0	128.37	1
643	-6.96667	110.417	0	146.95	1
644	38.2669	-104.62	0	116.712	1
645	-1.06278	-46.7728	0	102.372	1
646	35.9775	139.593	0	149.682	1
647	-22.5231	-44.1042	0	120.858	1
648	34.2333	135.167	0	146.219	1
649	37.4989	126.783	0	137.224	1
650	30.1697	121.266	0	135.223	1
651	34.8269	135.471	0	146.275	1
652	52.3333	35.3667	0	51.668	1
653	-38.7167	-62.2667	0	142.986	1
654	-0.1	34.75	0	96.569	1
655	51.2	58.6167	0	70.2948	1
656	51.1802	7.18721	0	39.4795	1
657	38.5503	44.9519	0	68.3209	1
658	-23.6858	-46.6228	0	122.875	1
659	-29.6778	-51.1308	0	130.143	1
660	-0.866667	131.25	0	159.635	1
661	41.1066	122.989	0	132.352	1
662	-25.9153	32.5764	0	120.406	1
663	34.6869	-118.154	0	130.46	1
664	53.25	34.3667	0	50.3153	1
665	46.8969	8.24694	0	43.8849	1
666	53.2144	63.6246	0	73.4934	1
667	42.2841	123.837	0	132.711	1
668	13.0833	-86.35	0	115.64	1
669	-34.9854	-71.2394	0	143.862	1
670	48.45	34.9833	0	54.3161	1
671	36.35	126.917	0	137.79	1
672	-5.13306	119.414	0	152.676	1
673	62.2333	25.7333	0	37.8575	1
674	6.31056	-10.8047	0	84.384	1
675	-34.9275	138.6	0	186.593	1
676	55.9281	23.3167	0	41.2864	1
677	50.25	19	0	44.0575	1
678	30.7353	76.7911	0	97.0009	1
679	-20.4686	-54.6222	0	123.235	1
680	31.9711	34.7894	0	67.6584	1
681	35.8256	139.806	0	149.935	1
682	27.18	78.02	0	100.167	1
683	32.7333	74.85	0	94.2443	1
684	26.4725	80.3311	0	102.415	1
685	36.5952	109.486	0	121.817	1
686	-20.2639	-40.42	0	117.439	1
687	-17.4042	-66.0408	0	126.083	1
688	34.9403	127.702	0	139.066	1
689	-22.5667	-55.7167	0	125.601	1
